Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A768616,,03/22/2018 03:50:00 PM,03/22/2018 03:50:00 PM,9515 N Lamar Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,03/23/2018 09:09:00 AM,03/23/2018 09:09:00 AM,03/22/2017,Other,Unknown,1 year,Bat Mix,Brown,1.0
A667890,*Dori,11/24/2013 03:07:00 PM,11/24/2013 03:07:00 PM,Coulver Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Redbone Hound/Boxer,Red/White,*Dori,12/07/2013 05:59:00 PM,12/07/2013 05:59:00 PM,11/24/2012,Dog,Spayed Female,1 year,Redbone Hound/Boxer,Red/White,0.0
A660027,Pinto,07/24/2014 04:12:00 PM,07/24/2014 04:12:00 PM,2401 Quicksilver in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pointer Mix,Brown Brindle/White,Pinto,08/21/2014 02:19:00 PM,08/21/2014 02:19:00 PM,09/02/2011,Dog,Neutered Male,2 years,Pointer Mix,Brown Brindle/White,0.0
A745923,Wyatt,03/26/2017 01:36:00 PM,03/26/2017 01:36:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black,Wyatt,03/28/2017 09:40:00 AM,03/28/2017 09:40:00 AM,08/01/2014,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black,0.0
A691535,Snoop,11/06/2014 07:12:00 AM,11/06/2014 07:12:00 AM,7605 Marl in Austin (TX),Stray,Injured,Dog,Intact Male,5 years,Beagle,Tricolor,Snoop,11/17/2014 05:48:00 PM,11/17/2014 05:48:00 PM,11/06/2009,Dog,Neutered Male,5 years,Beagle,Tricolor,0.0
A805147,Buddy,09/23/2019 11:41:00 AM,09/23/2019 11:41:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Dachshund Mix,Black/Brown,Buddy,09/28/2019 01:15:00 PM,09/28/2019 01:15:00 PM,09/23/2018,Dog,Neutered Male,1 year,Dachshund Mix,Black/Brown,0.0
A709962,,08/15/2015 11:11:00 AM,08/15/2015 11:11:00 AM,15134 Sarahs Creek Dr in Pflugerville (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Blue,,08/16/2015 09:00:00 AM,08/16/2015 09:00:00 AM,04/15/2015,Cat,Intact Female,4 months,Domestic Medium Hair Mix,Blue,0.0
A729676,*Domenico,06/22/2016 11:38:00 AM,06/22/2016 11:38:00 AM,1401 Frontier Valley in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,*Domenico,08/11/2016 06:02:00 PM,08/11/2016 06:02:00 PM,05/22/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A779353,,08/30/2018 03:06:00 PM,08/30/2018 03:06:00 PM,1800 Deloney Street in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,,09/02/2018 05:46:00 PM,09/02/2018 05:46:00 PM,08/30/2016,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black/White,0.0
A667199,*Aramis,11/14/2013 12:47:00 PM,11/14/2013 12:47:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,4 weeks,Domestic Medium Hair Mix,Black,*Aramis,11/22/2013 11:51:00 AM,11/22/2013 11:51:00 AM,10/14/2013,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black,0.0
A788013,Spot,01/24/2019 03:45:00 PM,01/24/2019 03:45:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,9 months,Pointer Mix,White/Black,Spot,02/09/2019 02:24:00 PM,02/09/2019 02:24:00 PM,04/24/2018,Dog,Spayed Female,9 months,Pointer Mix,White/Black,0.0
A749979,Chucky,05/22/2017 11:39:00 AM,05/22/2017 11:39:00 AM,10710 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Chihuahua Longhair Mix,Black/White,Chucky,05/24/2017 12:37:00 PM,05/24/2017 12:37:00 PM,05/24/2013,Dog,Intact Male,4 years,Chihuahua Longhair Mix,Black/White,0.0
A806928,,10/18/2019 07:56:00 AM,10/18/2019 07:56:00 AM,9912 Rodriguez in Austin (TX),Stray,Injured,Cat,Intact Male,1 year,Domestic Shorthair,Orange,,10/18/2019 04:58:00 PM,10/18/2019 04:58:00 PM,10/18/2018,Cat,Intact Male,1 year,Domestic Shorthair,Orange,0.0
A734546,*Kid Rock,09/08/2016 03:05:00 PM,09/08/2016 03:05:00 PM,16006 Agua Vista in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,*Kid Rock,09/14/2016 12:00:00 AM,09/14/2016 12:00:00 AM,06/16/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0.0
A721633,*Montana,03/01/2016 04:38:00 PM,03/01/2016 04:38:00 PM,8701 Shoal Creek in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Australian Cattle Dog/Basenji,Brown/White,*Montana,03/14/2016 12:20:00 PM,03/14/2016 12:20:00 PM,09/02/2012,Dog,Spayed Female,3 years,Australian Cattle Dog/Basenji,Brown/White,0.0
A778783,,08/20/2018 01:12:00 PM,08/20/2018 01:12:00 PM,305 W 35Th in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/Black,,08/24/2018 05:28:00 PM,08/24/2018 05:28:00 PM,04/20/2017,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Black,0.0
A668427,,12/03/2013 05:04:00 PM,12/03/2013 05:04:00 PM,Muffin Dr in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever/Border Collie,Black/White,,12/05/2013 11:51:00 AM,12/05/2013 11:51:00 AM,10/03/2013,Dog,Intact Male,2 months,Labrador Retriever/Border Collie,Black/White,0.0
A773860,,06/20/2018 02:57:00 PM,06/20/2018 02:57:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,2 months,Labrador Retriever/Golden Retriever,Brown/White,,06/23/2018 03:15:00 PM,06/23/2018 03:15:00 PM,04/01/2018,Dog,Neutered Male,2 months,Labrador Retriever/Golden Retriever,Brown/White,0.0
A760254,Abby,10/15/2017 12:50:00 PM,10/15/2017 12:50:00 PM,7300 North Farm To Market 620 in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Beagle Mix,Tricolor,Abby,10/22/2017 05:41:00 PM,10/22/2017 05:41:00 PM,06/15/2013,Dog,Spayed Female,4 years,Beagle Mix,Tricolor,0.0
A748961,*Bruno,05/09/2017 10:59:00 AM,05/09/2017 10:59:00 AM,3726 Howard Ln in Austin (TX),Stray,Injured,Dog,Intact Male,5 years,English Coonhound Mix,Red Tick/White,*Bruno,07/30/2017 06:06:00 PM,07/30/2017 06:06:00 PM,05/09/2012,Dog,Neutered Male,5 years,English Coonhound Mix,Red Tick/White,0.0
A763583,,12/11/2017 01:34:00 PM,12/11/2017 01:34:00 PM,Oaksprings And Airport in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Yorkshire Terrier/Chihuahua Shorthair,Black,,12/11/2017 04:16:00 PM,12/11/2017 04:16:00 PM,06/11/2017,Dog,Intact Male,6 months,Yorkshire Terrier/Chihuahua Shorthair,Black,0.0
A809443,,11/24/2019 02:42:00 PM,11/24/2019 02:42:00 PM,David Moore Drive And Buster Drive in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,German Shepherd,Black/Tan,,11/25/2019 02:41:00 PM,11/25/2019 02:41:00 PM,03/24/2019,Dog,Intact Female,8 months,German Shepherd,Black/Tan,0.0
A803529,*Molly,09/02/2019 02:45:00 PM,09/02/2019 02:45:00 PM,6636 West William Cannon in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico,*Molly,11/25/2019 11:50:00 AM,11/25/2019 11:50:00 AM,09/02/2017,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,0.0
A786850,*Fergi,01/03/2019 10:24:00 AM,01/03/2019 10:24:00 AM,9401 South Us 183 Highway in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Blue Tick/Black,*Fergi,01/09/2019 04:57:00 PM,01/09/2019 04:57:00 PM,01/03/2017,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Blue Tick/Black,0.0
A677208,*Lola,04/21/2014 02:25:00 PM,04/21/2014 02:25:00 PM,2407 Berekeley Ave. in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Dachshund Mix,Tan/White,*Lola,04/30/2014 11:47:00 AM,04/30/2014 11:47:00 AM,08/21/2013,Dog,Spayed Female,8 months,Dachshund Mix,Tan/White,0.0
A690202,Perdy,10/16/2014 10:54:00 AM,10/16/2014 10:54:00 AM,5210 Buffalo Pass in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,German Shorthair Pointer Mix,Liver/White,Perdy,10/16/2014 12:29:00 PM,10/16/2014 12:29:00 PM,10/16/2008,Dog,Spayed Female,6 years,German Shorthair Pointer Mix,Liver/White,0.0
A790606,,03/13/2019 08:51:00 AM,03/13/2019 08:51:00 AM,Travis (TX),Stray,Nursing,Dog,Intact Female,1 day,Australian Shepherd Mix,White/Black,,05/12/2019 06:35:00 PM,05/12/2019 06:35:00 PM,03/12/2019,Dog,Spayed Female,1 month,Australian Shepherd Mix,White/Black,0.0
A663562,*Heidi,12/11/2013 06:55:00 PM,12/11/2013 06:55:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Rhod Ridgeback Mix,Brown/White,*Heidi,12/12/2013 03:23:00 PM,12/12/2013 03:23:00 PM,09/20/2012,Dog,Spayed Female,1 year,Rhod Ridgeback Mix,Brown/White,0.0
A712297,*Eclipse,09/21/2015 11:08:00 AM,09/21/2015 11:08:00 AM,4303 Banister Lane in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black,*Eclipse,10/02/2015 07:24:00 PM,10/02/2015 07:24:00 PM,07/06/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,0.0
A592335,Dex,08/26/2015 12:54:00 PM,08/26/2015 12:54:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Norwich Terrier Mix,Tan,Dex,08/30/2015 04:19:00 PM,08/30/2015 04:19:00 PM,08/23/2010,Dog,Neutered Male,5 years,Norwich Terrier Mix,Tan,0.0
A733559,*Guacamole,08/23/2016 04:58:00 PM,08/23/2016 04:58:00 PM,7001 South Congress Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,*Guacamole,10/02/2016 05:46:00 PM,10/02/2016 05:46:00 PM,07/24/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A692639,*Scout,11/23/2014 07:25:00 PM,11/23/2014 07:25:00 PM,6101 Caroline Ln in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/Tan,*Scout,12/17/2014 05:34:00 PM,12/17/2014 05:34:00 PM,10/13/2014,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan,0.0
A740452,Chrissy,12/19/2016 01:44:00 PM,12/19/2016 01:44:00 PM,18328 Great Falls Dr in Travis (TX),Stray,Normal,Dog,Intact Female,6 months,Chihuahua Shorthair Mix,Cream/Tan,Chrissy,12/23/2016 12:18:00 PM,12/23/2016 12:18:00 PM,06/19/2016,Dog,Intact Female,6 months,Chihuahua Shorthair Mix,Cream/Tan,0.0
A734207,,09/03/2016 09:31:00 AM,09/03/2016 09:31:00 AM,2200 Forest Trl in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon Mix,Gray/Black,,09/04/2016 09:14:00 AM,09/04/2016 09:14:00 AM,09/03/2015,Other,Unknown,1 year,Raccoon Mix,Gray/Black,1.0
A752272,,06/20/2017 12:18:00 PM,06/20/2017 12:18:00 PM,900 Rocking Spur Cv in Travis (TX),Stray,Normal,Dog,Intact Male,5 months,Basset Hound Mix,Brown,,06/24/2017 02:42:00 PM,06/24/2017 02:42:00 PM,01/05/2017,Dog,Intact Male,5 months,Basset Hound Mix,Brown,0.0
A799535,,07/09/2019 05:18:00 PM,07/09/2019 05:18:00 PM,5800 Techni Center Dr in Austin (TX),Stray,Normal,Other,Unknown,4 weeks,Guinea Pig,Gray,,07/11/2019 01:48:00 PM,07/11/2019 01:48:00 PM,06/09/2019,Other,Unknown,4 weeks,Guinea Pig,Gray,0.0
A750341,,05/26/2017 07:40:00 AM,05/26/2017 07:40:00 AM,4701 Staggerbrush in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/Black,,05/30/2017 10:50:00 PM,05/30/2017 10:50:00 PM,03/26/2017,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/Black,0.0
A755910,Beaux,08/10/2017 03:49:00 PM,08/10/2017 03:49:00 PM,15010 Chamberlain Court in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Brown/Black,Beaux,08/15/2017 05:22:00 PM,08/15/2017 05:22:00 PM,08/10/2015,Dog,Neutered Male,2 years,German Shepherd Mix,Brown/Black,0.0
A682817,,07/03/2014 02:47:00 PM,07/03/2014 02:47:00 PM,Thornwood Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,,07/07/2014 12:26:00 PM,07/07/2014 12:26:00 PM,04/26/2014,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A755199,Cookie,11/05/2017 11:06:00 AM,11/05/2017 11:06:00 AM,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,6 months,Anatol Shepherd Mix,Black/White,Cookie,11/09/2017 12:11:00 PM,11/09/2017 12:11:00 PM,05/01/2017,Dog,Spayed Female,6 months,Anatol Shepherd Mix,Black/White,0.0
A792070,,04/05/2019 12:01:00 PM,04/05/2019 12:01:00 PM,Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Bat Mix,Brown,,04/06/2019 11:44:00 AM,04/06/2019 11:44:00 AM,04/05/2018,Other,Unknown,1 year,Bat Mix,Brown,1.0
A705399,*Merri,06/16/2015 06:37:00 PM,06/16/2015 06:37:00 PM,6904 Tulane in Austin (TX),Stray,Nursing,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue,*Merri,06/26/2015 12:09:00 PM,06/26/2015 12:09:00 PM,06/16/2014,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue,0.0
A709138,*Belle,08/05/2015 01:47:00 PM,08/05/2015 01:47:00 PM,2100 Barton Springs Rd in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,White/Brown Tabby,*Belle,09/22/2015 08:57:00 AM,09/22/2015 08:57:00 AM,07/05/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Brown Tabby,0.0
A677338,Louise,04/23/2014 04:10:00 PM,04/23/2014 04:10:00 PM,13413 James Monroe in Manor (TX),Public Assist,Normal,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Tan,Louise,04/25/2014 01:04:00 PM,04/25/2014 01:04:00 PM,03/18/2014,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Tan,0.0
A774221,*Columbo,06/11/2018 06:20:00 PM,06/11/2018 06:20:00 PM,1107 East Yager Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,*Columbo,06/26/2018 11:18:00 AM,06/26/2018 11:18:00 AM,04/17/2018,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,0.0
A752926,*Smurfette,06/29/2017 11:10:00 AM,06/29/2017 11:10:00 AM,900 Broken Feather in Pflugerville (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,*Smurfette,08/02/2017 02:47:00 PM,08/02/2017 02:47:00 PM,06/05/2017,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,0.0
A787158,Tyrion,01/08/2019 03:28:00 PM,01/08/2019 03:28:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Male,1 year,Guinea Pig Mix,Brown/White,Tyrion,01/13/2019 12:00:00 AM,01/13/2019 12:00:00 AM,07/08/2017,Other,Intact Male,1 year,Guinea Pig Mix,Brown/White,0.0
A671094,*Gina,01/18/2014 11:20:00 AM,01/18/2014 11:20:00 AM,5706 Sandhurst Cir in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 months,Australian Cattle Dog Mix,Black/White,*Gina,01/29/2014 03:07:00 PM,01/29/2014 03:07:00 PM,09/18/2013,Dog,Spayed Female,4 months,Australian Cattle Dog Mix,Black/White,0.0
A772972,Chiquita,05/25/2018 03:54:00 PM,05/25/2018 03:54:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan,Chiquita,05/30/2018 11:57:00 AM,05/30/2018 11:57:00 AM,05/25/2016,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan,0.0
A808062,,11/03/2019 03:32:00 PM,11/03/2019 03:32:00 PM,841 Airport Boulevard in Austin (TX),Stray,Normal,Cat,Unknown,3 months,Domestic Shorthair Mix,Cream Tabby,,11/07/2019 11:13:00 AM,11/07/2019 11:13:00 AM,08/03/2019,Cat,Unknown,3 months,Domestic Shorthair Mix,Cream Tabby,0.0
A810215,,12/09/2019 10:48:00 AM,12/09/2019 10:48:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 months,Labrador Retriever,Black/White,,12/13/2019 05:26:00 PM,12/13/2019 05:26:00 PM,09/24/2019,Dog,Neutered Male,2 months,Labrador Retriever,Black/White,0.0
A665738,Baby,10/23/2013 06:07:00 PM,10/23/2013 06:07:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,Baby,10/30/2013 05:34:00 PM,10/30/2013 05:34:00 PM,10/22/2011,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,0.0
A803512,Zeus,09/02/2019 01:12:00 PM,09/02/2019 01:12:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,English Bulldog,Chocolate/White,Zeus,09/04/2019 05:27:00 PM,09/04/2019 05:27:00 PM,09/02/2018,Dog,Neutered Male,1 year,English Bulldog,Chocolate/White,0.0
A754209,,08/22/2017 01:36:00 PM,08/22/2017 01:36:00 PM,814 Airport in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Tricolor,,08/23/2017 06:36:00 PM,08/23/2017 06:36:00 PM,07/17/2014,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Tricolor,0.0
A679592,*Caramel,05/23/2014 01:19:00 PM,05/23/2014 01:19:00 PM,Manor Rd And 51St St in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,*Caramel,07/12/2014 12:20:00 PM,07/12/2014 12:20:00 PM,04/08/2014,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,0.0
A805251,Cash,09/24/2019 02:50:00 PM,09/24/2019 02:50:00 PM,1500 Red River in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,Australian Shepherd,Blue Merle/White,Cash,09/26/2019 06:50:00 PM,09/26/2019 06:50:00 PM,09/24/2018,Dog,Intact Male,1 year,Australian Shepherd,Blue Merle/White,0.0
A730333,*Quincy,07/02/2016 12:31:00 PM,07/02/2016 12:31:00 PM,12700 Ring Dr in Manor (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,White/Blue Tick,*Quincy,07/24/2016 06:16:00 PM,07/24/2016 06:16:00 PM,07/02/2013,Dog,Neutered Male,3 years,Pit Bull Mix,White/Blue Tick,0.0
A707011,Ramond Juan,07/06/2015 04:04:00 PM,07/06/2015 04:04:00 PM,924 Shady Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Rat Terrier Mix,Tricolor,Ramond Juan,07/06/2015 05:32:00 PM,07/06/2015 05:32:00 PM,07/06/2007,Dog,Neutered Male,8 years,Rat Terrier Mix,Tricolor,0.0
A666312,,10/30/2013 11:06:00 AM,10/30/2013 11:06:00 AM,Webberville Rd And Taylor Ln in Travis (TX),Stray,Normal,Dog,Intact Male,7 months,Leonberger Mix,Brown Brindle/White,,11/03/2013 05:28:00 PM,11/03/2013 05:28:00 PM,03/02/2013,Dog,Neutered Male,8 months,Leonberger Mix,Brown Brindle/White,0.0
A686030,,08/15/2014 06:48:00 PM,08/15/2014 06:48:00 PM,12901 N Ih 35 #1100 in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,08/16/2014 08:38:00 AM,08/16/2014 08:38:00 AM,08/15/2013,Other,Unknown,1 year,Bat Mix,Brown,1.0
A622150,Benji,11/23/2016 12:40:00 PM,11/23/2016 12:40:00 PM,Airport Blvd And Parwood  Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Basenji Mix,Brown/White,Benji,11/27/2016 06:28:00 PM,11/27/2016 06:28:00 PM,09/17/2011,Dog,Neutered Male,5 years,Basenji Mix,Brown/White,0.0
A685999,,08/15/2014 03:40:00 PM,08/15/2014 03:40:00 PM,Linden/Montopolis in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,,08/19/2014 05:18:00 PM,08/19/2014 05:18:00 PM,05/31/2014,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,0.0
A773510,*Barnaby,06/02/2018 11:45:00 AM,06/02/2018 11:45:00 AM,5437 El Molino Circle in Travis (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Barnaby,08/14/2018 06:25:00 PM,08/14/2018 06:25:00 PM,05/02/2018,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,0.0
A762536,*Radish,11/21/2017 01:39:00 PM,11/21/2017 01:39:00 PM,841 Airport Boulevard in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby,*Radish,01/09/2018 04:25:00 PM,01/09/2018 04:25:00 PM,10/18/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A682599,Shiva,06/30/2014 12:09:00 PM,06/30/2014 12:09:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,4 months,Domestic Longhair,Calico,Shiva,07/03/2014 06:45:00 PM,07/03/2014 06:45:00 PM,02/28/2014,Cat,Spayed Female,4 months,Domestic Longhair,Calico,0.0
A764470,Jenny,12/30/2017 03:58:00 PM,12/30/2017 03:58:00 PM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,7 years,Rabbit Sh Mix,Brown,Jenny,01/02/2018 05:13:00 PM,01/02/2018 05:13:00 PM,12/30/2010,Other,Intact Female,7 years,Rabbit Sh Mix,Brown,0.0
A677306,,04/23/2014 11:22:00 AM,04/23/2014 11:22:00 AM,85 Pedernales in Austin (TX),Stray,Feral,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,,09/23/2014 11:16:00 AM,09/23/2014 11:16:00 AM,03/01/2014,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby,0.0
A668560,Powder,12/05/2013 11:01:00 AM,12/05/2013 11:01:00 AM,1505 Miss Allisons Way in Pflugerville (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,White,Powder,12/11/2013 05:39:00 PM,12/11/2013 05:39:00 PM,08/05/2013,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White,0.0
A795614,,05/22/2019 02:21:00 PM,05/22/2019 02:21:00 PM,5209 Pine Place in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Blue Cream,,06/05/2019 01:09:00 PM,06/05/2019 01:09:00 PM,04/01/2019,Cat,Intact Female,2 months,Domestic Shorthair,Blue Cream,0.0
A773850,,06/06/2018 01:40:00 PM,06/06/2018 01:40:00 PM,10600 Plains Trail in Austin (TX),Stray,Normal,Cat,Unknown,4 years,Domestic Shorthair Mix,Black/White,,06/09/2018 05:40:00 PM,06/09/2018 05:40:00 PM,06/06/2014,Cat,Unknown,4 years,Domestic Shorthair Mix,Black/White,0.0
A673988,Sinsae,04/18/2014 12:04:00 PM,04/18/2014 12:04:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White,Sinsae,09/15/2014 04:39:00 PM,09/15/2014 04:39:00 PM,04/03/2010,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White,0.0
A708803,*Jessica,08/01/2015 08:48:00 AM,08/01/2015 08:48:00 AM,Hamilton Pool Rd in Travis (TX),Stray,Injured,Dog,Intact Female,1 day,Pit Bull Mix,Brown/White,*Jessica,08/07/2015 12:38:00 PM,08/07/2015 12:38:00 PM,07/31/2015,Dog,Intact Female,1 week,Pit Bull Mix,Brown/White,0.0
A767581,*Jackson,03/03/2018 04:29:00 PM,03/03/2018 04:29:00 PM,9129 Metric in Austin (TX),Stray,Nursing,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Black/White,*Jackson,04/27/2018 01:34:00 PM,04/27/2018 01:34:00 PM,02/09/2018,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White,0.0
A798376,,06/25/2019 12:03:00 PM,06/25/2019 12:03:00 PM,1500 Faro Drive in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat,Red,,06/25/2019 12:33:00 PM,06/25/2019 12:33:00 PM,06/25/2017,Other,Unknown,2 years,Bat,Red,1.0
A751746,*Lucky Charm,06/12/2017 12:02:00 PM,06/12/2017 12:02:00 PM,Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,*Lucky Charm,07/07/2017 07:43:00 AM,07/07/2017 07:43:00 AM,04/27/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A784945,,11/23/2018 02:11:00 PM,11/23/2018 02:11:00 PM,Duval Road in Austin (TX),Stray,Pregnant,Dog,Intact Female,8 years,Yorkshire Terrier,Red/Black,,11/24/2018 02:52:00 PM,11/24/2018 02:52:00 PM,11/23/2010,Dog,Intact Female,8 years,Yorkshire Terrier,Red/Black,0.0
A792484,*Snowdrift,04/11/2019 11:37:00 AM,04/11/2019 11:37:00 AM,3601 E 12Th in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Cream,*Snowdrift,05/12/2019 05:25:00 PM,05/12/2019 05:25:00 PM,04/11/2018,Dog,Neutered Male,1 year,German Shepherd Mix,Cream,0.0
A700069,,04/06/2015 02:28:00 PM,04/06/2015 02:28:00 PM,4600 Rocking Chair Rd in Austin (TX),Stray,Nursing,Cat,Unknown,0 years,Domestic Shorthair Mix,Black,,04/07/2015 01:45:00 PM,04/07/2015 01:45:00 PM,04/06/2015,Cat,Unknown,1 day,Domestic Shorthair Mix,Black,0.0
A767360,Skylar,02/27/2018 03:15:00 PM,02/27/2018 03:15:00 PM,Lago Vista (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Blue/White,Skylar,04/29/2018 06:15:00 PM,04/29/2018 06:15:00 PM,02/27/2010,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Blue/White,0.0
